194,221
183,232
176,239
170,245
165,250
161,254
156,259
153,262
149,266
146,269
143,272
140,275
137,278
134,281
132,283
129,286
127,288
125,290
122,293
120,295
118,297
116,299
114,301
112,303
110,305
108,307
106,309
105,310
103,312
101,314
100,315
98,317
96,319
95,320
93,322
92,323
90,325
89,326
88,327
86,329
85,330
83,332
82,333
81,334
80,335
78,337
77,338
76,339
75,340
73,342
72,343
71,344
70,345
69,346
68,347
67,348
65,350
64,351
63,352
62,353
61,354
60,355
59,356
58,357
57,358
56,359
56,359
55,360
54,361
53,362
52,363
51,364
50,365
49,366
49,366
48,367
47,368
46,369
45,370
45,370
44,371
43,372
42,373
41,374
41,374
40,375
39,376
39,376
38,377
37,378
36,379
36,379
35,380
34,381
34,381
33,382
32,383
32,383
31,384
31,384
30,385
29,386
29,386
28,387
28,387
27,388
26,389
26,389
25,390
25,390
24,391
24,391
23,392
23,392
22,393
22,393
21,394
21,394
20,395
20,395
19,396
19,396
18,397
18,397
18,397
17,398
17,398
16,399
16,399
15,400
15,400
15,400
14,401
14,401
13,402
13,402
13,402
12,403
12,403
12,403
11,404
11,404
11,404
10,405
10,405
10,405
9,406
9,406
9,406
8,407
8,407
8,407
8,407
7,408
7,408
7,408
6,409
6,409
6,409
6,409
6,409
5,410
5,410
5,410
5,410
4,411
4,411
4,411
4,411
4,411
3,412
3,412
3,412
3,412
3,412
3,412
2,413
2,413
2,413
2,413
2,413
2,413
2,413
1,414
1,414
1,414
1,414
1,414
1,414
1,414
1,414
1,414
1,414
1,414
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
0,415
1,414
1,414
1,414
1,414
1,414
1,414
1,414
1,414
1,414
1,414
1,414
2,413
2,413
2,413
2,413
2,413
2,413
2,412
3,412
3,412
3,412
3,412
3,412
3,412
4,411
4,411
4,411
4,411
4,411
5,410
5,410
5,410
5,410
6,409
6,409
6,409
6,409
6,409
7,408
7,408
7,408
8,407
8,407
8,407
9,406
9,406
9,406
9,406
10,405
10,405
10,405
11,404
11,404
11,404
12,403
12,403
12,403
13,402
13,402
14,401
14,401
14,401
15,400
15,400
15,400
16,399
16,399
17,398
17,398
18,397
18,397
18,397
19,396
19,396
20,395
20,395
21,394
21,394
22,393
22,393
23,392
23,392
24,391
24,391
25,390
25,390
26,389
27,388
27,388
28,387
28,387
29,386
29,386
30,385
31,384
31,384
32,383
32,383
33,382
34,381
34,381
35,380
36,379
36,378
37,378
38,377
39,376
39,376
40,375
41,374
41,374
42,373
43,372
44,371
45,370
45,370
46,369
47,368
48,367
49,366
49,366
50,365
51,364
52,363
53,362
54,361
55,360
56,359
57,358
58,357
59,356
60,355
61,354
62,353
63,352
64,351
65,350
66,349
67,348
68,347
69,346
70,345
71,344
72,343
73,342
75,340
76,339
77,338
78,337
80,335
81,334
82,333
83,332
85,330
86,329
88,327
89,326
91,324
92,323
93,322
95,320
96,319
98,317
100,315
101,314
103,312
105,310
107,308
108,307
110,305
112,303
114,301
116,299
118,297
120,295
122,293
125,290
127,288
129,286
132,283
135,280
137,278
140,275
143,272
146,269
150,265
153,262
157,258
161,254
165,250
170,245
177,238
184,231
194,221
